hs_code,product,world_imports_usd_m,india_exports_usd_m,india_share_pct,signal
4202,"Bags, wallets, cases",77819,1537,2,Hard to enter — India barely present
4203,Leather apparel & gloves,6968,685,10,Moderate presence
4205,Other leather articles,2209,44,2,Hard to enter — India barely present
4201,Saddlery & harness,2010,180,9,Hard to enter — India barely present
6403,Leather footwear,56060,1835,3,Hard to enter — India barely present
6404,"Footwear, textile upper",43155,179,0,Hard to enter — India barely present
4302,Tanned fur skins,1132,0,0,Hard to enter — India barely present
