hs_code,product,world_imports_usd_m,india_exports_usd_m,india_share_pct,signal
0306,"Shrimp, prawns & other crustaceans",31225,4444,14,Moderate presence
3004,Pharmaceuticals (medicaments),462504,18827,4,Hard to enter — India barely present
5701,Hand-knotted carpets,854,292,34,Strong lane — India sells well here
7113,Jewellery of precious metal,114280,12723,11,Moderate presence
8708,Motor vehicle parts & accessories,446484,7043,2,Hard to enter — India barely present
3926,Other plastic articles,91410,781,1,Hard to enter — India barely present
4011,New pneumatic tyres,93710,2662,3,Hard to enter — India barely present
6802,Worked monumental/building stone (granite),9569,1161,12,Moderate presence
